"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Kevin Behrens,FW,Union Berlin,1991.0,18.0,14.0,1262.0,14.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,6.0,6.0,0.9,6.9,11.0,45.0,93.0,0.29,0.0,0.29,0.29,0.29,0.43,0.06,0.5,0.43,0.5
Maximilian Beier,"FW,MF",Hoffenheim,2002.0,33.0,29.0,2420.0,26.9,16.0,1.0,17.0,16.0,0.0,0.0,0.0,0.0,11.4,11.4,2.4,13.8,61.0,30.0,224.0,0.6,0.04,0.63,0.6,0.63,0.43,0.09,0.51,0.43,0.51
Stefan Bell,DF,Mainz 05,1991.0,10.0,8.0,666.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Ramy Bensebaini,DF,Dortmund,1995.0,17.0,11.0,1033.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.7,1.7,0.4,2.1,17.0,75.0,63.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.18,0.15,0.18
Mergim Berisha,FW,Hoffenheim,1998.0,6.0,0.0,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.32,0.19,0.51,0.32,0.51
Mergim Berisha,FW,Augsburg,1998.0,2.0,2.0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2
Bernardo,DF,Bochum,1995.0,33.0,33.0,2924.0,32.5,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.9,1.9,0.5,2.4,26.0,127.0,38.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07
Matúš Bero,"MF,FW",Bochum,1995.0,24.0,20.0,1661.0,18.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.9,2.9,1.3,4.2,12.0,48.0,71.0,0.05,0.05,0.11,0.05,0.11,0.16,0.07,0.23,0.16,0.23
Jan-Niklas Beste,"FW,MF",Heidenheim,1999.0,31.0,31.0,2603.0,28.9,8.0,11.0,19.0,8.0,0.0,1.0,4.0,0.0,4.3,3.5,5.7,9.2,80.0,57.0,136.0,0.28,0.38,0.66,0.28,0.66,0.15,0.2,0.35,0.12,0.32
Pep Biel,"MF,FW",Augsburg,1996.0,11.0,0.0,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.2,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.32,0.07,0.38,0.32,0.38
